date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:04	67/67	---MCZ	200	added ('OK')	text/plain	etag:W/%2246-621acbfba19c0%22	https://azgames.io/robots.txt		(from )
18:56:04	7364/7364	---MCZ	200	added ('OK')	text/html	date:Fri,%2008%20Nov%202024%2016:58:12%20GMT	https://azgames.io/game/crossy-road/	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/index.html	(from )
18:56:04	3348/3348	---M--	200	added ('OK')	image/png	etag:%22d14-625efdccb8200%22	https://azgames.io/game/crossy-road/favicon.png	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/favicon.png	(from https://azgames.io/game/crossy-road/)
18:56:04	2427/2427	---MCZ	200	added ('OK')	text/css	etag:W/%2297b-6265379363280%22	https://azgames.io/game/crossy-road/TemplateData/style.css	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/TemplateData/style.css	(from https://azgames.io/game/crossy-road/)
18:56:04	96852/96852	---MCZ	200	added ('OK')	font/ttf	etag:W/%2217a54-6265379363280%22	https://azgames.io/game/crossy-road/BRLNSDB.TTF	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/BRLNSDB.TTF	(from https://azgames.io/game/crossy-road/)
18:56:05	502/502	---M--	200	added ('OK')	image/png	etag:%221f6-625efdccb8200%22	https://azgames.io/game/crossy-road/loading_fill.png	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/loading_fill.png	(from https://azgames.io/game/crossy-road/)
18:56:05	783706/783706	---M--	200	added ('OK')	image/png	etag:%22bf55a-62613bb20ff80%22	https://azgames.io/game/crossy-road/loading.png?v=1	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/loading3860.png	(from https://azgames.io/game/crossy-road/)
18:56:05	403/403	---M--	200	added ('OK')	image/png	etag:%22193-62613ae7e2280%22	https://azgames.io/game/crossy-road/loading_bar.png	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/loading_bar.png	(from https://azgames.io/game/crossy-road/)
18:56:05	132197/132197	---M--	200	added ('OK')	image/png	etag:%2220465-62613abfd4400%22	https://azgames.io/game/crossy-road/logo.png	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/logo.png	(from https://azgames.io/game/crossy-road/)
18:56:06	754/754	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20May%202026%2022:56:04%20GMT	https://azgames.io/game/crossy-road/Build	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/Build	(from https://azgames.io/game/crossy-road/)
18:56:06	671/671	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20May%202026%2022:56:04%20GMT	http://azgames.io/game/crossy-road/Build/	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/Build/index.html	(from https://azgames.io/game/crossy-road/)
18:56:06	29224/29224	---M--	200	added ('OK')	text/javascript	date:Thu,%2014%20Mar%202024%2014:32:26%20GMT	https://www.gstatic.com/firebasejs/10.9.0/firebase-app-compat.js	C:/My%20Web%20Sites/crossy%20road/www.gstatic.com/firebasejs/10.9.0/firebase-app-compat.js	(from https://azgames.io/game/crossy-road/)
18:56:06	341737/341737	---M--	200	added ('OK')	text/javascript	date:Thu,%2014%20Mar%202024%2014:32:41%20GMT	https://www.gstatic.com/firebasejs/10.9.0/firebase-firestore-compat.js	C:/My%20Web%20Sites/crossy%20road/www.gstatic.com/firebasejs/10.9.0/firebase-firestore-compat.js	(from https://azgames.io/game/crossy-road/)
18:56:07	136702/136702	---M--	200	added ('OK')	text/javascript	date:Thu,%2014%20Mar%202024%2014:33:34%20GMT	https://www.gstatic.com/firebasejs/10.9.0/firebase-auth-compat.js	C:/My%20Web%20Sites/crossy%20road/www.gstatic.com/firebasejs/10.9.0/firebase-auth-compat.js	(from https://azgames.io/game/crossy-road/)
18:56:07	26460/26460	---M--	200	added ('OK')	text/javascript	date:Thu,%2014%20Mar%202024%2014:32:23%20GMT	https://www.gstatic.com/firebasejs/10.9.0/firebase-analytics-compat.js	C:/My%20Web%20Sites/crossy%20road/www.gstatic.com/firebasejs/10.9.0/firebase-analytics-compat.js	(from https://azgames.io/game/crossy-road/)
18:56:07	700/700	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2024%20May%202026%2022:56:06%20GMT	https://azgames.io/game/crossy-road/TemplateData/fullscreen-button.png	C:/My%20Web%20Sites/crossy%20road/azgames.io/game/crossy-road/TemplateData/fullscreen-button.png	(from https://azgames.io/game/crossy-road/TemplateData/style.css)
18:56:08	671/671	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2024%20May%202026%2022:56:06%20GMT	http://azgames.io/robots.txt		(from https://azgames.io/game/crossy-road/)
